,off_passing_yards,off_rushing_yards,def_passing_yards,def_rushing_yards,off_plays,plays_against,points_for,points_allowed,season_wins_line,off_yards_total,def_yards_total,ypp_for,ypp_allowed,net_ypp,net_points,pythagorean_diff,power_rating
team=Eaglesandseason=2018,982.0,473.0,1086.0,255.0,292.0,247.0,82.0,81.0,10.5,1455.0,1341.0,4.982876712328767,5.42914979757085,-0.4462730852420833,1.0,0.5061347384267971,0.5612801518361397
team=Falconsandseason=2018,1259.0,384.0,1136.0,476.0,251.0,273.0,116.0,122.0,9.0,1643.0,1612.0,6.5458167330677295,5.904761904761905,0.6410548283058244,-6.0,0.4748059280169372,-5.3827207450258125
team=Broncosandseason=2018,940.0,593.0,1092.0,375.0,256.0,257.0,84.0,97.0,7.0,1533.0,1467.0,5.98828125,5.708171206225681,0.2801100437743189,-13.0,0.4285453993319162,-12.78992605824234
team=Seahawksandseason=2018,786.0,422.0,817.0,490.0,248.0,249.0,85.0,81.0,8.0,1208.0,1307.0,4.870967741935484,5.248995983935743,-0.3780282420002594,4.0,0.5240824024372552,3.6474726590884217
team=Brownsandseason=2018,853.0,611.0,1113.0,467.0,293.0,294.0,102.0,104.0,5.5,1464.0,1580.0,4.996587030716723,5.374149659863946,-0.3775626291472225,-2.0,0.49029217719132895,-2.385851953304468
team=Steelersandseason=2018,1355.0,289.0,1219.0,463.0,276.0,282.0,102.0,116.0,10.5,1644.0,1682.0,5.956521739130435,5.964539007092198,-0.008017267961763608,-14.0,0.43604358759430006,-14.070555181716038
team=Cardinalsandseason=2018,567.0,267.0,943.0,565.0,198.0,273.0,37.0,94.0,5.5,834.0,1508.0,4.212121212121212,5.523809523809524,-1.3116883116883118,-57.0,0.1341499265066144,-58.67611988653027
team=Redskinsandseason=2018,736.0,413.0,562.0,272.0,201.0,177.0,64.0,44.0,7.0,1149.0,834.0,5.7164179104477615,4.711864406779661,1.0045535036681006,20.0,0.6790450928381963,21.185017095157722
team=Chargersandseason=2018,1115.0,499.0,1103.0,437.0,248.0,246.0,111.0,120.0,9.5,1614.0,1540.0,6.508064516129032,6.260162601626016,0.24790191450301613,-9.0,0.4610980127989222,-8.789581574046636
team=Chiefsandseason=2018,1189.0,452.0,1314.0,493.0,249.0,270.0,145.0,115.0,9.0,1641.0,1807.0,6.590361445783133,6.692592592592592,-0.10223114680945944,30.0,0.6138686131386861,30.01305596498065
team=Coltsandseason=2018,1060.0,288.0,1072.0,437.0,276.0,282.0,94.0,100.0,6.5,1348.0,1509.0,4.884057971014493,5.351063829787234,-0.46700585877274126,-6.0,0.46910172011042683,-6.496485640010889
team=Bengalsandseason=2018,1132.0,374.0,1214.0,463.0,248.0,290.0,126.0,113.0,6.5,1506.0,1677.0,6.07258064516129,5.7827586206896555,0.2898220244716345,13.0,0.5542328504101938,13.345473373533254
team=Dolphinsandseason=2018,792.0,352.0,1139.0,442.0,200.0,279.0,82.0,90.0,6.5,1144.0,1581.0,5.72,5.666666666666667,0.05333333333333279,-8.0,0.4535887749595251,-7.991659393055716
team=Titansandseason=2018,813.0,436.0,971.0,472.0,251.0,252.0,75.0,73.0,8.0,1249.0,1443.0,4.9760956175298805,5.726190476190476,-0.7500948586605958,2.0,0.5135110461931714,1.2648346861840014
team=Giantsandseason=2018,929.0,328.0,915.0,504.0,248.0,241.0,73.0,95.0,6.5,1257.0,1419.0,5.068548387096774,5.8879668049792535,-0.8194184178824795,-22.0,0.3712553991918629,-22.946744520039193
team=Jaguarsandseason=2018,1067.0,454.0,657.0,380.0,261.0,233.0,88.0,56.0,9.0,1521.0,1037.0,5.827586206896552,4.450643776824034,1.3769424300725177,32.0,0.711764705882353,33.590125634606295
team=Packersandseason=2018,1076.0,408.0,874.0,431.0,269.0,245.0,92.0,83.0,10.0,1484.0,1305.0,5.516728624535316,5.326530612244898,0.1901980122904181,9.0,0.5512929069237282,9.242909417865572
team=Bearsandseason=2018,878.0,486.0,922.0,256.0,256.0,231.0,111.0,65.0,6.5,1364.0,1178.0,5.328125,5.0995670995671,0.22855790043290014,46.0,0.7446512752326846,46.47462767431701
